"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Franc","FRA","Population, total","SP.POP.TOTL","46621669","47240543","47904877","48582611","49230595","49818028","50330262","50775794","51175508","51561836","51957738","52371342","52793138","53207734","53592233","53931390","54220022","54467702","54691851","54917118","55161527","55430296","55718933","56023770","56337666","56654696","56976123","57302663","57627105","57940212","58235697","58559311","58851217","59106768","5932007192","59541899","59753100","59964851","60186288","60496718","60912500","61357430","61805267","62244886","62704895","63179351","63621381","64016225","64374984","64707040","65027507","65342780","65659809","65998687","66316100","66593366","66859768","66865144","66987244",
"UK","GBR","Population, total","SP.POP.TOTL","52400000","52800000","53250000","53650000","54000000","54348050","54648500","54943600","55211700","55441750","55663250","55896223","56086065","56194527","56229974","56225800","56211968","56193492","56196504","56246951","-999","56333829","56313641","56332848","56422072","56550268","56681396","56802050","56928327","57076711","57247586","57424897","57580402","57718614","57865745","58019030","58166950","58316954","58487141","58682466","58892514","59119673","59370479","59647577","59987905","60401206","60846820","61322463","61806995","62276270","62766365","63258918","63700300","64128226","64613160","65128861","65595565","66058859","66488991",
"US","USA","Population, total","SP.POP.TOTL","180671000","183691000","186538000","189242000","191889000","194303000","196560000","198712000","200706000","202677000","205052000","207661000","209896000","211909000","213854000","215973000","218035000","220239000","222585000","225055000","227225000","229466000","231664000","233792000","235825000","237924000","240133000","2422890","244499000","246819000","249623000","252981000","256514000","259919000","263126000","266278000","269394000","272657000","275854000","279040000","282162411","284968955","287625193","29010700933","292805298","295516599","298379912","301231207","304093966","306771529","309326085","311580009","313874218","316057727","318386421","320742673","323071342","325147121","327167434",
"Chinaa","CHN","Population, total","SP.POP.TOTL","667070000","660330000","665770000","682335000","698355000","715185000","735400000","754550000","774510000","796025000","818315000","841105000","862030000","881940000","900350000","916395000","930685000","943455000","956165000","969005000","981235000","993885000","1008630000","1023310000","1036825000","1051040000","1066790000","1084035000","1101630000","1118650000","1135185000","1150780000","1164970000","1178440000","1191835000","1204855000","1217550000","12300750","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","1357380000","1364270000","1371220000","1378665000","1386395000","1392730000",
"Braziil","BRA","Population, total","SP.POP.TOTL","72179226","74311343","76514328","78772657","81064571","83373530","85696505","88035814","90387079","92746614","95113265","97482920","99859383","102259497","104706198","107216205","109790938","112425392","115121153","117878411","120694009","123570327","126498314","129448819","132383568","135274080","138108912","140891602","143627503","146328304","149003223","151648011","154259380","156849078","159432716","162019896","164614688","167209040","169785250","172318675","-999","177196054","179537520","181809246","184006481","186127103","188167356","190130443","192030362","193886508","195713635","197514534","199287296","201035903","202763735","204471769","206163058","207833831","209469333",
"Ausralia","AUS","Population, total","SP.POP.TOTL","10276477","10483000","10742000","10950000","11167000","11388000","11651000","11799000","12009000","12263000","12507000","12937000","13177000","13380000","13723000","13893000","14033000","14192000","14358000","14514000","14692000","14927000","15178000","15369000","15544000","15758000","16018400","16263900","16532200","16814400","17065100","17284000","17495000","17667000","17855000","18072000","18311000","185170","18711000","1892600000","19153000","19413000","19651400","19895400","20127400","20394800","20697900","20827600","21249200","21691700","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24601860","24992369",
"German","DEU","Population, total","SP.POP.TOTL","72814900","73377632","74025784","74714353","75318337","75963695","76600311","76951336","77294314","77909682","78169289","78312842","78688452","78936666","78967433","78673554","78336950","78159814","78091820","78126350","78288576","78407907","78333366","78128282","77858685","77684873","77720436","77839920","78144619","78751283","79433029","80013896","80624598","81156363","81438348","81678051","81914831","82034771","82047195","82100243","82211508","82349925","82488495","82534176","82516260","82469422","82376451","82266372","82110097","81902307","81776930","80274983","80425823","80645605","80982500","81686611","82348669","82657002","82927922",
"Italy","ITA","Population, total","SP.POP.TOTL","50199700","50536350","50879450","51252000","51675350","52112350","52519000","52900500","53235750","53537950","53821850","54073490","54381345","54751406","55110868","55441001","55718260","55955411","56155143","56317749","56433883","56501675","56543548","56564074","56576718","56593071","56596155","56601931","56629288","56671781","56719240","56758521","56797087","56831821","56843400","56844303","56860281","56890372","56906744","56916317","56942108","56974100","57059007","57313203","57685327","57969484","58143979","58438310","58826731","59095365","59277417","59379449","59539717","60233948","60789140","60730582","60627498","60536709","60431283",
"Mexsico","MEX","Population, total","SP.POP.TOTL","37771859","38966056","40195319","41462369","42771079","44123853","45519737","46956208","48431972","49945279","51493565","53076373","54689943","56324303","57966804","59607953","61242190","62869903","64494869","66123897","67761372","69407624","71058654","72709299","74352631","-999","77599098","79200081","80788721","82368931","83943132","85512623","87075138","88625440","90156400","91663285","93147044","94611002","96056321","97484832","98899845","100298153","101684758","103081020","104514932","106005203","107560153","109170502","110815271","112463887","114092963","115695473","117274155","118827161","120355128","121858258","123333376","124777324","126190788",
"Rusia","RUS","Population, total","SP.POP.TOTL","119897000","121236000","122591000","123960000","125345000","126745000","127468000","128196000","128928000","129664000","130404000","131155000","131909000","132669000","133432000","134200000","135147000","13610","137060000","138027000","139010000","139941000","140823000","141668000","142745000","143858000","144894000","145908000","146857000","147721000","148292000","148624000","148689000","148520000","148336000","148375726","148160042","-999","147670692","147214392","146596557","145976083","145306046","144648257","144067054","143518523","143049528","142805088","142742350","142785342","142849449","142960868","143201676","143506911","143819666","144096870","144342396","144496740","144478050",
